drug_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
5-Fluorouracil,0.085552,-0.949544,1.867379,-1.815268,0.418338,-1.833333,-2.873408,-0.076525,1.740047,0.779983,0.1035,-0.634947,-2.457334,-1.277339,0.14578,1.127494,0.519342,-2.781308,0.863376,-0.794543,-0.971991,-0.00748,0.599404,1.273927,-1.807113,0.630836,-0.578981,0.930372,-0.645153,-0.43577,-2.060905,-2.110364
5-azacytidine,-0.507593,-1.104617,1.7235,-1.070543,0.781267,-1.527475,-0.650134,-1.221073,0.518895,0.809309,-0.39097,0.607591,-0.601747,-0.888765,-0.670214,0.453918,-0.002514,-2.218559,0.508936,-1.077989,-0.313325,0.869935,0.106378,1.621264,-0.505883,0.093834,-0.078278,1.197772,0.12772,-0.218032,-0.004484,-1.065089
A-366,0.550315,-1.426902,1.516344,-2.651742,0.496224,-3.28261,-2.398953,1.164894,0.991627,-0.246731,-0.351599,-1.098134,-1.482445,-1.41865,-0.420577,2.250584,0.261076,-2.356613,-0.032949,0.650053,-0.538771,0.813601,1.147255,1.328335,-1.418376,0.516501,-0.119994,1.518581,-0.721968,-0.334884,-1.700046,-1.837462
ABT737,0.428559,-0.320388,0.695403,-2.238251,0.273291,-1.985564,-0.461513,0.853551,-0.026844,-0.029648,-0.368001,0.439828,-0.825975,0.438891,-0.065262,0.745758,0.237108,-0.632582,-0.677379,-0.184829,-0.434939,0.724079,0.515249,0.03082,-0.492122,-0.724098,-0.766925,0.939899,0.006442,0.123861,-0.002142,-1.039217
AGI-5198,-0.734819,-1.544505,1.000128,-2.163449,0.258151,-3.102505,-2.813496,0.060358,0.4857,0.360389,-0.493062,0.126102,-1.308109,-0.68762,-1.432904,2.261248,1.278248,-2.506691,1.123973,-0.8254,-1.899178,0.492799,2.33602,0.583517,-1.197911,-0.424214,0.216269,1.170468,-0.647719,-0.54604,-2.289912,-1.599625
AGI-6780,0.519088,-0.94405,0.667405,-2.21711,0.130181,-1.770738,-1.408629,0.608611,1.407596,0.43378,-0.090455,-0.061366,-2.20049,-1.645623,-0.238992,1.996938,-0.111174,-1.887345,1.26286,-0.503118,-1.291439,0.858893,1.068748,0.905655,-0.877415,-1.204955,-0.290128,1.28137,-0.635808,-0.070248,-0.50461,-1.507123
AMG-319,0.279261,-2.041372,1.592153,-2.056416,0.342497,-2.932861,-1.434402,-0.365831,-0.056932,0.144996,0.064397,-0.366138,-1.555606,-0.838648,-0.958528,0.39003,0.386063,-2.07564,0.280003,-0.551463,-0.783608,0.390807,1.825988,2.18646,-1.319081,-1.018715,0.453272,0.320725,-0.535377,-0.046566,-0.787208,-1.85403
AT13148,0.189418,-1.592353,0.725207,-2.103474,0.132005,-2.305007,-1.309178,-0.095581,0.852748,0.021528,-0.292769,-0.290528,-1.603634,-0.410035,-0.566252,0.98612,0.287,-2.293721,0.175994,0.592634,-1.199819,0.53249,0.938627,0.899261,-1.087352,-0.199995,-0.491253,1.59005,-0.209997,-0.825349,-2.349653,-1.802358
AZ6102,-0.132312,0.429768,0.940714,-1.89687,-0.174931,-1.620668,-0.953549,-0.497241,0.533198,-0.219423,-0.645951,-0.11513,-0.815741,-0.165025,-0.087506,0.611214,0.636786,-1.279589,0.330592,-0.619085,-0.799069,0.534502,2.058587,0.908156,-0.988242,-0.667718,0.023578,1.882188,-0.589405,0.302414,-1.087894,-0.842442
AZ960,0.387802,-0.918437,0.171306,0.0994,0.617192,-0.776499,-0.400585,0.347506,1.450473,0.124428,0.219476,-0.905509,-1.296601,-1.030859,0.361581,-0.644137,0.00432,-2.551109,-0.22185,-0.475744,0.287653,0.564082,0.199942,1.089865,-0.492916,-0.166118,-0.403248,0.088345,-0.699083,-0.087789,-0.622619,0.056744
AZD1208,0.171083,-3.034266,1.438174,-2.664675,-0.151145,-3.519593,-2.441881,-0.374803,1.275011,-0.433133,-0.005407,0.640094,-3.013744,-1.285938,-1.993588,1.52908,0.867297,-2.440785,0.553584,-0.167184,0.197539,1.827979,1.376783,0.754058,-1.536418,-0.964766,0.751982,0.959342,-0.797719,0.124034,-1.808084,-2.37368
AZD2014,0.578593,-1.630197,0.373241,-0.818065,0.144346,-1.189456,-0.562112,0.110851,0.298204,-0.091888,-0.381279,0.197145,-1.288769,-0.046687,-0.291307,0.429695,0.533593,-1.515027,0.530725,-0.145103,-0.740206,0.663754,0.946558,1.186904,-0.064952,0.043715,-0.347474,1.861344,-1.014718,0.353393,-0.506817,-1.368218
AZD3759,-0.072685,-0.864889,1.294764,-1.309489,0.03204,-2.697501,-0.169229,-0.38159,0.739807,0.083044,-0.139261,0.169928,-0.318313,-0.436071,-0.031976,0.989499,0.77695,-1.60746,0.790633,0.254704,0.01295,0.147322,0.720497,0.846571,-1.340406,0.556129,0.252403,0.903349,-0.662484,-0.80834,-1.165477,-0.824003
AZD4547,0.325771,-0.776673,0.840264,-1.158347,0.417466,-0.847442,-0.72447,0.564382,0.745741,-0.612636,-0.616098,-0.01669,-1.204223,-0.363713,0.464736,1.22011,0.908041,-1.382094,-0.140848,-0.341149,-0.95121,1.275081,1.231108,1.015318,-0.062448,-1.260731,0.56265,0.135628,-0.392132,-0.306382,-0.566124,-0.855765
AZD5153,0.666368,-0.786091,0.731835,-0.478855,-0.721845,-1.358154,-0.684141,0.646441,0.570575,-0.505149,-0.123203,0.870795,-0.622545,-0.493835,0.034588,0.866569,-0.070476,-0.55737,-0.015797,0.183037,-0.225639,0.521543,0.093299,0.016509,0.087823,-0.181525,0.294459,0.294257,0.22958,-0.389062,-0.575245,-0.15567
AZD5363,0.574594,-1.193661,1.704456,-0.918871,-0.337467,-1.541829,-1.361554,0.390457,0.629118,0.188102,-0.557676,0.229776,-1.880555,-1.188523,-0.222116,1.732685,0.126411,-1.202649,0.822169,0.068107,-0.751933,-0.006672,-0.195523,0.688983,-0.150258,-0.834481,0.641929,0.384322,-0.369088,0.190341,-1.304364,-0.968546
AZD5438,-0.217119,-0.397612,0.701052,-0.837635,0.927312,-1.058751,-1.287198,0.096693,0.485811,0.161703,1.180231,-0.028133,-2.066599,-0.781952,-1.292896,0.584869,-0.749942,-1.686239,-0.530503,-0.081041,-0.47984,0.585315,0.678965,-0.036634,-0.338458,0.741802,0.439556,0.478947,-1.05389,-0.585713,-0.558153,-0.311856
AZD5582,0.122115,-0.25187,0.860732,-0.499077,-0.200525,-1.120684,-1.242683,0.13003,0.620511,0.944998,-0.726134,0.055199,-0.17052,-0.06418,0.132604,0.945298,0.860922,-1.630212,-0.493247,-0.240474,-1.497734,0.992268,1.24571,0.357226,-0.702553,-0.226726,0.230151,0.664766,-0.016175,-0.200725,-0.210182,-0.514188
AZD5991,-0.318767,-0.530279,0.252386,-1.428662,0.719992,-2.580821,-1.349365,0.494611,0.406036,0.157832,-0.209221,-0.616862,-0.523557,-1.196761,-0.019198,1.000768,-0.154178,-1.945198,0.691565,0.024157,0.014533,2.165334,1.292842,0.723109,-0.723959,-0.483283,0.838132,0.456202,0.641513,0.217769,-2.094903,-1.709193
AZD6738,0.399296,-0.097103,-0.103205,-0.434453,-0.83835,-1.314308,-0.304488,-0.148214,-0.27502,0.184134,-0.377286,0.119699,-1.400575,-0.852694,-1.308942,0.769866,0.142173,-1.736439,0.306868,0.264046,-0.546351,0.530379,0.804624,0.001197,0.484577,-0.435759,0.542679,1.016648,-0.380247,0.183112,-0.593868,-1.483824
AZD7762,-0.166955,-0.370453,-0.180964,-0.726078,0.57589,0.682091,0.408412,0.647209,-0.12751,-0.30773,-0.396311,0.303763,0.02382,-0.082288,0.619624,0.266613,-0.398479,-0.447429,0.360661,0.497501,0.234767,0.985559,0.880061,0.277024,-0.470211,-0.673756,-0.173591,0.435799,0.884249,0.197458,0.517233,-0.195235
AZD8186,0.298363,-0.608721,-0.196268,-1.384497,0.676346,-1.753307,-1.879591,-1.025144,0.529526,0.12953,-0.55353,-0.21894,-1.173173,-0.359108,-1.622349,0.362689,0.179186,-1.414761,0.557269,-0.135563,-0.844752,0.426282,0.630466,1.282526,-1.269858,0.126714,0.423504,0.91861,-0.790626,-0.856881,-1.391134,-1.319013
Acetalax,-1.203424,-1.580695,1.614692,-1.426983,0.044547,-2.722334,-2.139077,0.350214,1.80476,0.724363,0.098356,-0.668336,-1.69667,-1.852052,-0.771603,1.773048,0.851673,-2.135351,0.601507,-0.637423,-0.679485,0.380623,1.022252,1.335736,-1.089275,-1.346062,0.691725,1.753255,-0.71004,0.927096,-1.891615,-1.856615
Afatinib,-0.204275,-0.566409,0.24649,-1.313204,-0.168949,-1.027645,-0.049129,1.199452,1.036593,-0.302093,-0.40567,-0.230062,0.153774,-0.442267,-0.893838,0.277433,0.550162,-0.53565,0.061768,0.149363,-1.474701,0.35744,0.945316,0.048733,-0.837349,-1.087672,0.96041,0.127197,-0.118821,0.209224,0.203431,-0.674441
Afuresertib,-0.279753,-0.700113,1.253788,-0.993059,-0.322097,-2.227836,-1.598455,0.578607,0.388905,-0.176309,-0.443994,-0.181416,-1.219343,-0.671933,0.332073,1.555217,-0.549453,-1.147422,-0.147401,-0.410521,-0.348805,0.34856,0.882011,1.029102,-0.476859,-0.553387,-0.068231,0.005686,-0.783334,0.842955,-1.218812,-1.486339
Alisertib,0.152882,-0.610151,0.333783,0.06396,0.384152,-1.293213,-0.909122,-0.148002,0.824835,-0.064159,-0.957256,-0.182146,-1.544277,0.714421,-0.724526,0.473728,0.309394,-1.069376,0.025028,0.008865,0.407935,0.704694,1.280211,-0.034678,-0.281647,-0.084617,0.349356,1.199973,-0.361812,-0.300165,-0.313491,-1.516737
Alpelisib,-0.132531,-1.172411,0.399383,-0.747257,-0.312857,-2.115799,-1.241381,0.882446,0.766422,0.647157,0.229445,-0.252926,-2.089818,-1.46953,-0.428116,0.833348,0.818713,-1.469455,0.246363,-0.981269,-0.452018,0.130229,0.698166,0.483483,-0.946236,0.261968,0.343651,0.797839,-1.263546,0.082048,-1.546326,-1.191281
Avagacestat,-0.196777,-1.122171,1.119966,-1.808434,0.547222,-1.802093,-1.491163,0.242556,1.077667,-0.012718,-0.643517,-0.715133,-2.540525,-0.722248,-1.206824,2.207007,0.876732,-2.55879,0.472403,-0.839769,-0.851345,1.43536,1.150758,0.590333,-0.87127,-0.288391,-0.077394,1.054835,-1.127788,-0.632802,-1.773954,-1.876344
Axitinib,-0.337615,-1.336589,0.630228,-1.021339,0.030928,-1.194684,-0.948314,-0.617212,0.930371,0.457905,-0.32206,-1.020177,-1.334418,-0.655503,-0.977822,0.231364,0.267288,-1.712554,0.084749,-0.390306,-1.164181,0.336318,1.199988,0.668069,-1.595699,-0.516265,-0.235199,1.016693,-0.27436,-0.997458,-0.622018,-1.638975
BEN,0.763299,-1.30111,0.369666,-2.044627,0.426159,-2.561093,-1.651529,1.044014,0.541753,0.236834,0.570328,-0.228194,-2.587969,-0.616202,-1.137521,1.979416,0.003335,-0.643343,1.124877,-0.863124,-0.80708,1.115153,1.63631,1.345281,-0.386908,-0.434723,0.216497,1.004111,-0.149206,-0.041511,-1.189773,-1.046278
BI-2536,-1.021679,0.456496,-0.125152,1.18236,-0.823823,1.337125,0.416255,0.188387,0.627487,0.231538,0.233145,0.206964,0.179659,0.19092,-0.226468,-0.323577,-1.265901,0.717009,-0.153237,-0.058348,0.302811,-0.891118,0.670787,-0.316811,0.166266,-0.394569,-0.082441,0.415437,0.654529,0.480134,0.588519,0.161663
BIBR-1532,-0.745552,-1.70465,1.129541,-1.327142,0.471459,-2.165892,-1.415591,0.070313,0.222398,0.952686,0.5043,-1.139762,-1.487716,-0.900662,-0.618265,2.41063,1.193476,-2.348172,0.728116,-0.275821,-1.226653,0.900121,1.112462,1.245865,-1.45608,-0.786606,0.570769,1.317527,-0.475601,-1.092732,-1.734552,-1.748399
BMS-345541,-0.169039,-1.1617,0.043758,-1.063142,0.53618,-1.745866,-0.831165,0.300938,0.990229,0.252296,0.226182,-1.094784,-1.950184,0.061497,-1.698605,1.004816,0.935536,-1.839328,0.12703,-0.326849,-0.864869,0.63739,0.706652,1.501283,-0.141702,-0.381109,-0.356409,0.730034,-0.579229,0.063987,-1.628952,-1.60091
BMS-754807,0.24604,-0.259206,0.255857,-1.507651,1.785946,-0.958371,-1.048493,0.570134,0.446504,0.551635,2.6e-05,-0.161795,-1.075349,-1.219594,0.651712,0.257488,-0.443292,-1.320994,-0.257473,-0.291141,-0.122452,0.919037,1.117624,0.488746,-0.553344,-0.009078,-0.650685,0.957348,-1.058754,0.892272,-0.964415,-0.916508
Bleomycin,-0.395806,-1.173254,1.804493,-0.520457,-0.605121,-0.838049,-0.481123,0.019135,0.75257,0.131583,0.892448,-0.642473,-1.126727,-0.798183,-1.090301,1.953611,-0.311958,-1.320537,-0.607375,-0.512007,-0.338297,0.083972,1.129996,0.621158,-0.100934,0.429973,-0.024572,0.829963,-0.297094,0.159023,-0.890534,-0.875545
Bortezomib,-0.102771,1.541252,-0.504799,2.035498,0.057659,3.11033,1.786119,-0.11672,-1.578421,0.394029,-1.229262,0.378779,2.644345,0.327779,0.84602,-1.82319,-0.666389,2.945956,-0.355558,-0.47703,0.461294,-0.37032,-1.221694,-0.432222,2.018479,0.262604,0.786962,-1.35614,0.190795,-0.056399,0.423474,2.481408
Bromosporine,0.787592,-1.274868,0.482616,-0.837624,-0.328696,-2.298819,-1.068458,-0.017764,0.341374,0.235644,0.630885,-0.369925,-0.98709,-0.158638,-0.057011,0.459476,0.297401,-1.004891,-0.329131,0.352485,0.224851,0.082234,0.844577,0.996558,-0.881457,0.016548,0.32188,-0.026436,-0.117945,-0.684722,-0.332778,-1.203165
Buparlisib,-0.08547,0.307882,0.542348,-0.976333,-0.432765,-1.000466,-0.277662,0.249551,-0.157462,-0.52232,0.099434,-0.19861,0.549861,-0.239128,0.742393,-0.207145,-0.663722,-1.190538,0.710463,0.740338,-0.63317,-0.011536,-0.215786,-0.572777,0.059086,0.00093,0.12371,-0.351155,0.648617,-0.318073,-0.128833,-1.155066
CCT007093,-0.116483,-1.517228,1.456729,-1.842065,0.575633,-3.64622,-1.989465,0.366381,1.276841,0.305595,-0.818427,-1.13229,-3.431641,-0.722959,-0.31038,2.083765,0.693626,-3.838381,-0.003836,-0.520212,-0.996486,0.850293,1.805378,1.469969,-1.259018,-0.805671,1.011812,1.31835,-1.418674,-0.677389,-1.913594,-1.383654
CPI-637,-0.038354,-1.442531,0.425094,-1.164845,-0.059502,-2.550215,-0.954445,0.505543,0.128029,-0.666119,-0.179703,-0.990527,-1.562066,-0.897266,-0.505003,0.995334,1.30909,-0.828039,0.274183,-0.314779,-0.814927,0.65055,0.899343,0.645669,-1.638496,-0.191882,0.162798,-0.044519,-0.388915,-0.256,-0.738156,-1.339592
Camptothecin,-0.731007,-0.462044,-0.867392,0.440922,0.342674,1.205027,1.38657,-0.783915,0.026868,0.25473,-0.937742,0.847143,0.959238,0.640293,-0.148153,-0.014808,-0.804999,1.504153,0.210287,-0.24942,1.409467,-0.261748,-0.309362,-1.338325,1.57681,-0.42144,0.307995,-1.099469,-0.013759,0.508961,1.19658,0.102629
Cediranib,0.535635,-0.22993,0.116155,-0.069144,-0.57985,-1.706431,-0.705326,-0.286743,0.65723,0.242444,-0.175805,0.202005,-1.165952,-0.396303,0.245553,1.147345,0.637447,-1.828758,0.492939,-0.713184,-1.122247,0.399273,0.281271,1.057791,-0.189724,-1.171277,-0.178501,-0.035923,-0.572183,0.095516,-0.908154,-1.145821
Cisplatin,0.636377,-2.226885,1.454003,-1.512316,0.173116,-2.254377,-0.57777,-0.415511,0.756026,0.437801,-0.922981,-0.76582,-1.576019,-1.174573,-0.875728,0.898927,0.673849,-1.962312,0.868428,-0.890058,-1.3136,1.584533,0.718343,0.290568,-1.723531,0.223444,0.165856,0.864135,-0.566361,0.317873,-1.213615,-0.043118
Crizotinib,0.05611,-0.313137,1.058992,-0.99243,-0.126817,-1.397791,-0.804813,-0.129202,0.672449,0.754851,0.942689,0.186911,-0.248448,-0.889107,-0.016638,1.51282,-0.173967,-1.649662,1.127564,-0.794836,-1.210734,1.252095,1.421096,0.959201,-0.692532,-0.466007,0.405315,1.568367,-0.263087,0.935328,-1.331801,-0.964386
Cyclophosphamide,-0.208119,-2.234453,1.239176,-1.74416,0.596207,-2.049403,-1.892293,0.889962,1.214276,1.113143,1.014237,-0.216094,-2.861329,-1.425844,-0.595857,1.91919,0.898854,-2.590007,0.521887,-0.934065,-0.882215,1.905913,2.15912,1.756999,-0.827604,-0.680139,0.275746,1.18656,-0.829116,-0.507977,-1.165523,-2.151078
Cytarabine,-0.408395,0.42008,0.202968,-0.559458,0.334507,-1.589595,-0.07442,0.42115,1.164031,-0.250305,-0.010705,-0.137237,-0.638562,-1.102442,-0.184636,-0.162331,0.358238,-1.983103,-0.756903,0.208595,-0.626186,-0.175164,1.172711,0.649134,-0.001299,-0.244262,1.512447,0.206132,0.622534,-0.127436,-1.403803,-0.381958
