cell_line_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
A101D,0.762149,0.579056,0.428051,1.592987,0.013052,-0.490314,1.312173,1.31887,-0.354282,1.171055,-1.641902,0.077265,0.216885,-1.520331,-1.189989,-1.396652,-0.83551,0.403708,0.088366,-1.271023,0.645862,-0.412643,0.506084,-0.856429,-0.65492,0.336108,-0.776126,0.753503,-0.781372,-0.372824,-0.627165,0.595363
A172,0.534815,0.022871,0.506864,1.068577,-0.890003,-0.392628,1.058259,0.196406,-0.446188,0.624477,0.582264,-0.27534,0.317173,-1.526953,-2.302451,-0.451069,-0.758502,1.476302,-0.803192,-0.948883,1.123836,-0.760134,0.623991,-0.733379,-0.028355,-0.368327,-0.194796,-0.408397,-0.174244,0.868107,-0.963773,1.159083
A3KAW,0.179925,-0.287952,-0.605689,0.433195,-0.592481,0.175471,-0.046084,0.975974,-0.514592,-0.018923,0.28538,-0.737416,0.177105,0.152444,-1.255533,-0.054958,-0.13534,0.473219,-0.856306,-1.03014,0.644855,0.089357,0.142933,-0.199947,-0.482597,0.14518,-0.154933,-0.258773,0.775568,0.160516,-0.753251,0.813427
A498,0.575771,-0.753342,0.697781,1.629865,-0.662887,-0.144081,1.519327,0.152704,-0.264125,0.792379,0.104222,0.087415,-0.460507,-2.274378,-1.3702,-0.273709,-0.698233,2.222905,-0.571411,-0.764937,1.860059,0.112642,-0.093912,-0.964978,-0.900119,-0.013737,-1.328816,0.395464,0.590537,-1.208889,-0.22467,0.941543
A549,0.070282,0.459229,0.431471,0.400148,-0.502019,0.195442,0.608476,0.581389,-0.266667,0.008714,0.786253,0.029815,-0.86339,-1.086401,-1.394387,0.07954,-1.020719,0.13638,-0.307346,-0.437875,0.303494,-0.306452,-0.195838,-1.205089,0.547089,0.27088,-1.340084,0.690567,0.690756,0.33639,-1.130666,0.8999
A673,0.925598,-0.435155,0.602848,1.283088,-0.601183,-0.16747,-0.691819,-0.060827,-0.402406,-0.304785,0.543646,-0.98899,-0.077712,-1.059927,-0.293875,-1.048641,-0.014115,0.189941,-1.024809,-0.599596,0.961552,-0.432899,0.074618,-1.030623,-0.26342,0.396305,0.116051,-0.397941,0.713251,-1.147604,-0.429787,1.383577
A704,0.572145,-0.431503,0.458786,1.077027,-0.498164,0.221334,1.550859,0.320453,0.041822,0.62514,0.003717,-0.089909,-0.20423,-1.942749,-1.125323,-0.183448,-0.890611,0.331748,-0.150249,-1.523091,1.547212,-0.297298,-0.050158,-0.688731,-0.060366,0.503148,-0.347485,0.336987,-0.180984,-0.408618,-0.360806,1.544576
AGS,0.692426,-0.153343,0.334207,0.306976,-0.133517,-0.268581,0.999416,-0.006353,0.010533,1.054295,-0.300306,-0.046297,0.473476,-1.215949,-0.803333,-0.292098,-0.488651,-0.21974,-0.469615,-0.500482,1.503362,0.359821,1.112427,-1.139759,0.147267,0.150535,0.484092,-0.204774,-0.738608,-0.454492,-1.381261,0.720089
ALLSIL,-0.159686,0.013991,0.457591,1.612286,0.371559,-0.392097,0.249864,0.58568,-0.867939,1.155905,0.384579,-0.440753,-0.749458,-0.170017,-0.82084,0.37,-1.245564,-0.160579,-0.399334,-0.601695,0.423767,0.21148,-0.503917,-0.701884,-0.180834,0.306322,-0.153704,-0.396011,-1.032942,0.509714,-0.100201,0.445706
AM38,1.162228,-0.04979,1.093822,1.219316,0.848104,0.695414,1.104809,1.083172,-0.04276,1.106655,-0.843195,-0.019508,0.717561,-2.368706,-1.93434,-1.457312,-0.923112,0.603388,0.044354,-1.062318,1.955198,-0.8658,-0.799126,-1.136826,-0.231726,0.069997,-1.929678,0.247891,-1.119784,0.107776,-0.285081,0.971911
AMO1,-0.108274,-0.570987,0.162505,0.933393,-0.562942,0.181949,0.207508,-0.166754,-0.194022,-0.35524,-0.415519,-0.738326,1.054779,-0.554987,-0.866107,-0.061295,-0.359291,-0.016435,0.035324,-0.043929,0.173398,-0.355481,-0.117316,-1.577368,-0.920522,0.716635,0.478007,-0.012077,0.108515,0.068325,1.359358,1.114149
AN3CA,0.323131,-0.58552,-0.29848,1.288629,-0.560651,-0.89359,0.907394,0.057288,0.477709,0.863637,-0.365128,0.377029,0.227245,-1.921661,-0.582666,-0.168736,-1.307922,0.149724,-1.145432,-1.792008,1.605269,0.778761,-0.646659,-0.828822,-0.749559,-0.157121,-1.193166,-0.139214,-0.443817,-0.642792,-0.333682,1.418361
AU565,0.239136,-0.553604,0.179222,1.477268,0.081408,-0.657816,1.189801,0.929754,-1.173646,0.663389,-0.665883,-0.050941,-0.206942,-2.28376,-2.0591,-0.381909,-0.601366,-0.225283,-0.336264,-1.850392,1.025106,-0.76851,-0.277165,-1.004917,-0.823231,-0.112196,-0.327829,-0.017206,-0.015793,-0.775446,-0.169508,2.058062
BEN,-0.807089,-0.517789,0.847582,1.213065,-0.016534,-0.504086,1.406376,0.584565,0.178669,0.595516,-0.231193,-0.607928,-0.034956,-1.867707,-1.291619,-0.695825,-0.729327,1.30894,-0.348189,-1.382027,1.865667,-0.398914,-0.960776,-1.7338,-1.405274,-0.080015,-0.984259,1.162499,-0.354971,-0.361323,-0.104654,0.493207
BFTC909,0.481707,0.284138,-0.264788,1.687669,-0.002296,-0.379176,1.473343,1.697579,-0.25301,0.521597,-0.569186,-0.766122,0.592433,-1.829737,-1.227915,-0.650768,-0.502524,0.397053,-0.146461,-1.289681,0.938816,-0.654789,-0.172675,-0.855139,-0.020328,-0.379819,-0.40843,0.95306,-0.233318,0.724699,-0.827713,0.734676
BICR22,-0.546099,0.652473,0.774776,1.024717,-0.02183,-0.724548,2.314212,0.594956,-0.269739,0.737827,-0.079746,-0.209907,-0.228026,-1.086463,-0.251015,0.284134,0.096663,-0.038443,-1.122304,-1.038884,1.040718,0.39107,-0.799566,-0.219816,-0.455207,-0.136786,-1.301461,-0.567797,-0.003494,-0.16492,-1.060798,0.632502
BICR31,0.202836,0.731316,0.353614,0.385158,-0.297634,-0.311112,-0.169781,0.545636,-0.465865,0.753049,0.578601,0.21568,0.046147,-1.98126,-0.000731,-0.39006,-0.748973,0.222479,-0.578671,-1.126268,0.807072,-0.44194,0.034024,-1.335088,-0.762729,0.136003,-0.986545,1.032403,-1.773778,0.328045,0.173952,0.345773
BICR78,0.335411,-0.32678,-0.042975,1.164907,-0.794174,0.637266,2.078974,1.418725,-0.118128,-0.010999,-0.735045,-0.230457,-0.364211,-1.595455,-1.879947,-0.761064,-0.677824,0.542731,-1.106862,-0.861187,0.954743,0.077628,0.365444,-1.608321,-0.39232,-0.512392,-0.712246,0.290841,-0.874141,0.226915,-0.966041,1.185489
BT474,-0.184103,0.137601,0.134605,2.699375,-1.321079,0.568134,1.994697,0.869714,-0.834085,0.848624,-0.573197,-0.005495,0.34657,-2.213678,-2.245299,-0.701129,-1.057734,-0.479155,-1.760348,-1.317886,1.838766,-0.362084,0.09,-1.530614,-0.921117,-0.256457,-1.278994,-0.039744,-0.514409,-1.200241,-0.205235,2.452151
BT549,0.612591,0.35646,1.464598,1.992997,-1.148869,-0.868204,1.228213,0.761727,-0.199172,0.16643,-0.35871,-0.83204,-0.069709,-2.569856,-2.144383,-1.224389,-1.476017,0.833389,-1.360534,-0.061601,1.676492,-0.127841,-0.363301,-1.039777,-0.818899,0.169217,0.157175,0.318487,-0.011324,-0.636154,-0.604497,2.692415
BV173,-0.18695,0.871003,0.518869,0.106745,0.256555,0.426633,0.713195,-0.589615,-0.483163,0.014453,-0.155268,0.191696,0.150488,-1.155063,-0.249308,0.162055,0.021886,0.620442,0.18565,-0.130182,0.338278,-0.887995,0.232011,-0.259098,-0.002887,-0.610118,-0.833734,0.622282,-0.172785,0.266444,-0.13912,0.486729
