sample_id,cell_line_id,drug_id,response
TRAIN_0001,DMS273,Bromosporine,1.802728
TRAIN_0002,UMUC3,JQ1,5.157468
TRAIN_0003,ME1,JNK Inhibitor VIII,5.040891
TRAIN_0004,BT549,CCT007093,6.255264
TRAIN_0005,HCC38,LCL161,5.906965
TRAIN_0006,HCC70,ZM447439,1.530664
TRAIN_0007,SKMEL1,Crizotinib,2.293735
TRAIN_0008,NCIH522,ZM447439,4.506295
TRAIN_0009,SKHEP1,JNK Inhibitor VIII,3.892612
TRAIN_0010,NCIH2085,Dactinomycin,-2.315408
TRAIN_0011,HCC1500,P22077,3.43445
TRAIN_0012,EFO21,Sinularin,5.130055
TRAIN_0013,HCT116,Dactinomycin,-3.644615
TRAIN_0014,HCC1954,POMHEX,2.402711
TRAIN_0015,U87MG,Savolitinib,2.324788
TRAIN_0016,PATU8902,AZD4547,3.43326
TRAIN_0017,JURLMK1,GSK2830371,3.100867
TRAIN_0018,SW982,AT13148,2.381419
TRAIN_0019,IALM,Buparlisib,3.212063
TRAIN_0020,IGR1,Uprosertib,1.545646
TRAIN_0021,AU565,JQ1,4.07431
TRAIN_0022,HCC1500,Erlotinib,2.894074
TRAIN_0023,MDST8,AZD3759,2.628286
TRAIN_0024,KMRC20,L-Oxonoreleagnine,4.515177
TRAIN_0025,NCIH1755,SB216763,4.421537
TRAIN_0026,HDLM2,Sabutoclax,2.381914
TRAIN_0027,NCIH2291,Afuresertib,2.799315
TRAIN_0028,DMS53,GSK1904529A,3.964845
TRAIN_0029,NCIH226,RO-3306,6.942467
TRAIN_0030,HDLM2,OSI-027,2.693752
TRAIN_0031,HCC78,Sinularin,3.727766
TRAIN_0032,DMS79,AZD2014,2.699452
TRAIN_0033,PANC0203,Ruxolitinib,7.547894
TRAIN_0034,CAKI1,Piperlongumine,2.272432
TRAIN_0035,HOP92,Vinblastine,1.07214
TRAIN_0036,SNU423,Refametinib,2.676213
TRAIN_0037,TOV112D,SN-38,-5.55376
TRAIN_0038,AMO1,VX-11e,1.251144
