sample_id,cell_line_id,drug_id,response,cell_emb_0,cell_emb_1,cell_emb_2,cell_emb_3,cell_emb_4,cell_emb_5,cell_emb_6,cell_emb_7,cell_emb_8,cell_emb_9,cell_emb_10,cell_emb_11,cell_emb_12,cell_emb_13,cell_emb_14,cell_emb_15,cell_emb_16,cell_emb_17,cell_emb_18,cell_emb_19,cell_emb_20,cell_emb_21,cell_emb_22,cell_emb_23,cell_emb_24,cell_emb_25,cell_emb_26,cell_emb_27,cell_emb_28,cell_emb_29,cell_emb_30,cell_emb_31,drug_emb_0,drug_emb_1,drug_emb_2,drug_emb_3,drug_emb_4,drug_emb_5,drug_emb_6,drug_emb_7,drug_emb_8,drug_emb_9,drug_emb_10,drug_emb_11,drug_emb_12,drug_emb_13,drug_emb_14,drug_emb_15,drug_emb_16,drug_emb_17,drug_emb_18,drug_emb_19,drug_emb_20,drug_emb_21,drug_emb_22,drug_emb_23,drug_emb_24,drug_emb_25,drug_emb_26,drug_emb_27,drug_emb_28,drug_emb_29,drug_emb_30,drug_emb_31
TRAIN_0001,DMS273,Bromosporine,1.802728,0.253033,0.242949,0.540942,0.645369,-0.316552,-0.555027,1.597034,0.525302,0.635763,0.333514,-0.664974,-1.069178,-0.739308,-2.075126,-1.023177,-0.122711,-1.469806,0.658255,-0.850457,-0.873703,1.788984,0.297013,-0.08898,-1.401041,-1.440974,-0.285191,-0.877429,-0.241644,-0.468421,-0.157186,-0.515936,0.917148,0.787592,-1.274868,0.482616,-0.837624,-0.328696,-2.298819,-1.068458,-0.017764,0.341374,0.235644,0.630885,-0.369925,-0.98709,-0.158638,-0.057011,0.459476,0.297401,-1.004891,-0.329131,0.352485,0.224851,0.082234,0.844577,0.996558,-0.881457,0.016548,0.32188,-0.026436,-0.117945,-0.684722,-0.332778,-1.203165
TRAIN_0002,UMUC3,JQ1,5.157468,0.150131,0.474689,0.197676,1.511902,-0.105298,0.430404,2.1054,0.687608,-0.675972,0.174534,-0.553107,-0.651751,0.502673,-1.575791,-1.314219,0.104776,-0.01399,0.355665,-0.29786,-1.494141,1.960609,0.320004,0.567242,-1.282892,-0.842331,-0.593724,-1.09441,1.1172,-0.715587,0.120283,-0.139686,1.58716,-0.334863,0.48765,0.8136,-0.436563,0.718969,-1.234859,-0.444381,0.483938,0.738071,-0.052274,0.012652,-0.485228,-0.931702,-1.04098,-0.687583,0.529579,-0.25383,-1.371143,0.123666,-0.0432,0.045127,0.156211,1.321713,1.060195,-0.280429,-0.119368,0.369744,1.212501,0.307758,0.549674,-0.681297,-0.481499
TRAIN_0003,ME1,JNK Inhibitor VIII,5.040891,0.44871,0.137516,0.075242,0.628309,-0.150983,-0.363996,1.693024,0.630577,-0.307656,-0.33764,0.539316,-0.489043,0.560203,-2.089737,-1.353108,-1.14271,-0.658908,0.09658,-0.778773,-0.884986,0.664312,-0.539514,0.287664,-0.195735,-0.544685,0.392485,-1.059144,1.299382,-1.398407,-0.207551,-1.338501,0.365106,0.890215,-2.120391,2.168326,-1.885118,-0.592558,-3.141058,-1.588407,0.124011,0.412498,0.184585,-0.608665,-0.22295,-1.915548,-1.649025,-1.070175,2.024396,0.105635,-3.286358,-0.084705,-0.423603,-0.899475,0.610435,1.607941,2.213688,-1.793799,-1.457354,0.743357,1.463848,-1.101148,0.036945,-1.303092,-2.966786
TRAIN_0004,BT549,CCT007093,6.255264,0.612591,0.35646,1.464598,1.992997,-1.148869,-0.868204,1.228213,0.761727,-0.199172,0.16643,-0.35871,-0.83204,-0.069709,-2.569856,-2.144383,-1.224389,-1.476017,0.833389,-1.360534,-0.061601,1.676492,-0.127841,-0.363301,-1.039777,-0.818899,0.169217,0.157175,0.318487,-0.011324,-0.636154,-0.604497,2.692415,-0.116483,-1.517228,1.456729,-1.842065,0.575633,-3.64622,-1.989465,0.366381,1.276841,0.305595,-0.818427,-1.13229,-3.431641,-0.722959,-0.31038,2.083765,0.693626,-3.838381,-0.003836,-0.520212,-0.996486,0.850293,1.805378,1.469969,-1.259018,-0.805671,1.011812,1.31835,-1.418674,-0.677389,-1.913594,-1.383654
TRAIN_0005,HCC38,LCL161,5.906965,0.636914,0.666798,0.332072,2.551752,0.135023,0.023983,1.820331,0.703481,0.093897,0.655378,-1.483371,-1.060923,0.168055,-1.90864,-1.888769,0.003009,-2.067978,0.410737,-1.888373,-1.143437,1.533601,-0.033714,-0.359106,-0.896983,-0.066302,0.411412,-1.306206,0.695152,-1.001288,0.113161,0.175747,2.533149,0.591685,-1.498266,0.249593,-2.663727,0.383041,-2.402313,-2.729249,0.5095,1.732929,1.191713,-0.001606,-0.181968,-3.204403,0.009046,-0.953788,1.061769,0.369238,-1.793362,1.57262,-0.49409,-0.479727,0.906031,0.971836,2.08492,-1.524498,0.320672,1.128248,1.717569,0.221644,0.847727,-1.687283,-2.134005
TRAIN_0006,HCC70,ZM447439,1.530664,0.050207,0.065188,-0.105422,1.558698,0.029665,-1.130531,0.738552,0.499628,-0.542679,-0.151426,-0.192699,-0.263384,0.105027,-1.976455,-0.916828,0.357908,-1.088009,-0.043528,-0.513057,-1.359005,1.154862,0.181189,-0.898258,-0.531236,-0.418495,-0.11307,-1.006281,0.295113,-1.367439,0.503757,-0.482067,1.769093,1.044849,-0.597338,1.130443,-0.313717,-0.155667,-0.966083,-1.329259,-0.112486,0.463537,-0.171904,0.317187,-0.110851,-1.445977,-0.247166,-0.511569,0.694209,0.303315,-1.199626,0.458037,-0.494261,-0.126016,0.385403,0.509543,0.022066,-0.189745,-0.244845,0.374378,1.314915,-0.627729,-0.83793,-0.863308,-0.817181
TRAIN_0007,SKMEL1,Crizotinib,2.293735,0.599606,-0.619878,0.368891,2.184612,-0.265913,-0.052462,1.562121,0.195574,-0.01461,0.808091,0.677515,-0.985465,0.659454,-2.618122,-1.690484,-0.088455,-2.074875,0.219841,-1.212917,-1.799504,1.695845,0.328776,0.002621,-1.358546,-0.50119,0.114669,-1.725185,0.939556,-0.468446,-0.101734,-1.020393,1.670174,0.05611,-0.313137,1.058992,-0.99243,-0.126817,-1.397791,-0.804813,-0.129202,0.672449,0.754851,0.942689,0.186911,-0.248448,-0.889107,-0.016638,1.51282,-0.173967,-1.649662,1.127564,-0.794836,-1.210734,1.252095,1.421096,0.959201,-0.692532,-0.466007,0.405315,1.568367,-0.263087,0.935328,-1.331801,-0.964386
TRAIN_0008,NCIH522,ZM447439,4.506295,0.987091,-0.639445,0.495138,0.962102,-0.413232,0.287451,1.538931,2.025051,-0.344745,0.540017,-0.382662,-0.756832,0.1986,-1.23517,-1.56496,-0.925451,-1.414911,0.070387,-0.816886,-0.7312,0.70791,-0.372211,0.135652,-2.256548,-0.928684,-0.235643,-1.480268,0.449215,-0.645062,-0.551924,-0.351805,2.60324,1.044849,-0.597338,1.130443,-0.313717,-0.155667,-0.966083,-1.329259,-0.112486,0.463537,-0.171904,0.317187,-0.110851,-1.445977,-0.247166,-0.511569,0.694209,0.303315,-1.199626,0.458037,-0.494261,-0.126016,0.385403,0.509543,0.022066,-0.189745,-0.244845,0.374378,1.314915,-0.627729,-0.83793,-0.863308,-0.817181
TRAIN_0009,SKHEP1,JNK Inhibitor VIII,3.892612,0.51371,0.18173,1.190856,0.64054,-0.335958,0.010406,1.729809,0.701249,-0.155771,0.088971,0.357479,0.072737,-0.452401,-2.277663,-2.092258,-0.17241,-1.563525,0.120293,-0.598487,-1.31756,1.462438,-0.738243,0.358843,-1.602402,-0.657421,0.219749,-0.995279,0.353684,-0.921589,-0.415068,-0.546155,0.997088,0.890215,-2.120391,2.168326,-1.885118,-0.592558,-3.141058,-1.588407,0.124011,0.412498,0.184585,-0.608665,-0.22295,-1.915548,-1.649025,-1.070175,2.024396,0.105635,-3.286358,-0.084705,-0.423603,-0.899475,0.610435,1.607941,2.213688,-1.793799,-1.457354,0.743357,1.463848,-1.101148,0.036945,-1.303092,-2.966786
TRAIN_0010,NCIH2085,Dactinomycin,-2.315408,0.630311,0.22206,0.348008,2.20007,-0.367884,-0.100564,1.147757,0.286025,-0.135806,0.332815,-0.900628,-0.797672,0.596816,-2.270321,-1.822081,-0.56727,-1.994015,-0.414332,-0.760066,-1.812206,2.026585,0.252609,0.428613,-0.546527,-0.598026,0.437829,-1.468774,1.610233,0.377829,-0.292236,-0.421786,2.573093,-0.201461,2.364545,-1.309025,1.910249,0.202311,2.112765,1.004041,-0.597064,-1.057753,-1.078233,-0.376641,-0.415547,2.272195,1.087858,0.891241,-0.84903,-0.288194,2.637349,-0.65593,0.469863,1.105729,-1.32223,0.433104,-0.993045,0.978742,0.962902,0.099163,-1.036169,0.583368,-0.551254,0.918445,1.552493
